1,349.519171 
2,0.000000 
3,0.000000 
4,0.000000 
5,-1907.463870 
6,1697.699187 
7,0.000000 
8,0.000000 
9,0.000000 
10,0.000000 
11,0.000000 
12,0.000000 
13,-322.037128 
14,0.000000 
15,0.000000 
16,0.000000 
17,0.000000 
18,0.000000 
19,1260.269001 
20,0.000000 
21,-1779.449429 
22,0.000000 
23,0.000000 
24,0.000000 
25,0.000000 
26,3443.063410 
27,0.000000 
28,-4687.768149 
29,0.000000 
30,0.000000 
31,0.000000 
32,7554.526274 
33,0.000000 
34,-12041.116510 
35,0.000000 
36,11626.155138 
37,0.000000 
38,-11144.295652 
39,7534.673341 
40,-1583.426654 
